feature_family,raw_field,source,official_or_third_party,earliest_date,latest_date,frequency,usable_on_same_day_T,required_lag_sessions,coverage_pct,missing_pct,publication_timing,PIT_status,decision
INSTITUTIONAL,foreign_net_buy_sell,TWSE_T86_AND_TPEX_3ITRADE_HEDGE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9870230751656386,0.012976924834361414,TWSE files produced about 18:00/20:00; TPEx post-close table has no retained per-row published_at,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
INSTITUTIONAL,investment_trust_net_buy_sell,TWSE_T86_AND_TPEX_3ITRADE_HEDGE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9870230751656386,0.012976924834361414,TWSE files produced about 18:00/20:00; TPEx post-close table has no retained per-row published_at,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
INSTITUTIONAL,dealer_net_buy_sell,TWSE_T86_AND_TPEX_3ITRADE_HEDGE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9870230751656386,0.012976924834361414,TWSE files produced about 18:00/20:00; TPEx post-close table has no retained per-row published_at,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
MARGIN_SHORT,margin_balance,TWSE_MI_MARGN_AND_TPEX_MARGIN_BALANCE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9377884395704821,0.06221156042951792,TWSE compiled after member processing and published in the evening; TPEx post-close table; historical per-row published_at absent,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
MARGIN_SHORT,margin_balance_change,TWSE_MI_MARGN_AND_TPEX_MARGIN_BALANCE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9377884395704821,0.06221156042951792,TWSE compiled after member processing and published in the evening; TPEx post-close table; historical per-row published_at absent,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
MARGIN_SHORT,short_balance,TWSE_MI_MARGN_AND_TPEX_MARGIN_BALANCE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9377884395704821,0.06221156042951792,TWSE compiled after member processing and published in the evening; TPEx post-close table; historical per-row published_at absent,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
MARGIN_SHORT,short_balance_change,TWSE_MI_MARGN_AND_TPEX_MARGIN_BALANCE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9377884395704821,0.06221156042951792,TWSE compiled after member processing and published in the evening; TPEx post-close table; historical per-row published_at absent,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
MARGIN_SHORT,short_margin_ratio,TWSE_MI_MARGN_AND_TPEX_MARGIN_BALANCE,OFFICIAL,2020-01-02,2025-12-31,DAILY_TRADING_SESSION,False,1,0.9377884395704821,0.06221156042951792,TWSE compiled after member processing and published in the evening; TPEx post-close table; historical per-row published_at absent,PASS_CONSERVATIVE_NEXT_SESSION,PIT_USABLE_WITH_LAG
SECURITIES_LENDING,lending_balance_and_change,TWSE_TPEX_OFFICIAL_PAGES,OFFICIAL,,,,False,,0.0,1.0,not established,HISTORICAL_FIELD_AND_RELEASE_TIME_NOT_VERIFIED_FOR_BOTH_MARKETS,NOT_TESTED_DATA_UNAVAILABLE
TDCC_OWNERSHIP,holder_tier_distribution,TDCC_OPEN_DATA,OFFICIAL,,,,False,,0.0,1.0,weekly cutoff is not publication time,FULL_2020_2025_HISTORY_AND_PUBLISHED_AT_UNAVAILABLE,REJECTED_PIT_UNSAFE
BROKER_BRANCH,branch_concentration,NO_VERIFIED_OFFICIAL_HISTORICAL_SOURCE,UNAVAILABLE,,,,False,,0.0,1.0,not established,OFFICIAL_PIT_ARCHIVE_UNAVAILABLE,NOT_TESTED_DATA_UNAVAILABLE
